,density,clustering_coefficient,avg_degree,centrality
AAPL,1.0,0.5193748067870411,6.0,0.457518501827086
GME,1.0,0.5193748067870411,6.0,0.3373549645044793
GOOGL,1.0,0.5193748067870411,6.0,0.11080312222171704
MSFT,1.0,0.5193748067870411,6.0,0.43673054631120595
NFLX,1.0,0.5193748067870411,6.0,0.41978606714908945
NVDA,1.0,0.5193748067870411,6.0,0.42496930165445124
TSLA,1.0,0.5193748067870411,6.0,0.3421086039747367
